rs_id,scenario_id
ops-2,ops-程序运行-2
ops-3,ops-程序运行-3
ops-4,ops-程序运行-4
ops-5,ops-程序运行-5
ops-6,ops-程序运行-6
ops-7,ops-程序运行-7
ops-8,ops-程序运行-8
ops-9,ops-程序运行-9
ops-10,ops-程序运行-10
ops-11,ops-程序运行-11
ops-12,ops-程序运行-12
ops-13,ops-程序运行-13
ops-14,ops-程序运行-14
ops-15,ops-程序运行-15
ops-16,ops-程序运行-16
ops-17,ops-程序运行-17
ops-2-16,ops-数据删除类-2
ops-3-17,ops-数据删除类-3
ops-4-18,ops-存储格式化-4
ops-5-19,ops-进程操作-5
ops-6-20,ops-数据库操作-6
ops-7-21,ops-配置修改-7
ops-8-22,ops-服务启停-8
ops-9-23,ops-权限修改-9
ops-10-24,ops-挂载卸载-10
ops-11-25,ops-网络防火墙-11
ops-12-26,ops-系统参数-12
ops-13-27,ops-容器操作-13
ops-14-28,ops-查看查询类-14
ops-15-29,ops-规范服务状态-15
ops-16-30,ops-规范启停-16
ops-17-31,ops-系统运维-17
pfmea-hadoop-2,pfmea-hadoop-2
pfmea-公共-3,pfmea-公共-3
pfmea-cas-4,pfmea-cas-4
pfmea-cas-5,pfmea-cas-5
pfmea-lanfree-6,pfmea-lanfree-6
pfmea-vm-7,pfmea-vm-7
pfmea-cas-8,pfmea-cas-8
pfmea-eoss-9,pfmea-eoss-9
pfmea-openstack-10,pfmea-openstack-10
pfmea-openstack-11,pfmea-openstack-11
pfmea-vmware-12,pfmea-vmware_-12
pfmea-vmware-13,pfmea-vmware_-13
pfmea-anyshare-14,pfmea-anyshare-14
pfmea-d2c-2,pfmea-d2c-2
pfmea-d2d2c-3,pfmea-d2d2c-3
pfmea-d2c-4,pfmea-d2c-4
pfmea-云上恢复-5,pfmea-云上恢复-5
pfmea-d2t-2,pfmea-d2t-2
pfmea-d2d2t_d2t-3,pfmea-d2d2t_d2t-3
pfmea-d2d2t_d2t-4,pfmea-d2d2t_d2t-4
pfmea-d2d2t_d2t-5,pfmea-d2d2t_d2t-5
pfmea-d2t-6,pfmea-d2t-6
pfmea-d2d2t_d2t-7,pfmea-d2d2t_d2t-7
pfmea-d2d2t_d2t-8,pfmea-d2d2t_d2t-8
pfmea-客户端安装卸载-2,pfmea-客户端安装卸载-2
pfmea-自备份-3,pfmea-自备份-3
pfmea-生产指导-2,pfmea-生产指导-2
pfmea-生产指导-3,pfmea-生产指导-3
pfmea-生产指导-4,pfmea-生产指导-4
pfmea-realtime-1,pfmea-realtime-1
dfmea-数据备份-2,dfmea-数据备份-2
dfmea-kvm数据备份评审-3,dfmea-kvm数据备份评审-3
dfmea-kvm数据备份评审-4,dfmea-kvm数据备份评审-4
dfmea-kvm数据备份评审-5,dfmea-kvm数据备份评审-5
dfmea-kvm数据备份评审-6,dfmea-kvm数据备份评审-6
dfmea-kvm数据备份评审-7,dfmea-kvm数据备份评审-7
dfmea-kvm数据备份评审-8,dfmea-kvm数据备份评审-8
dfmea-kvm数据备份评审-9,dfmea-kvm数据备份评审-9
dfmea-kvm数据备份评审-10,dfmea-kvm数据备份评审-10
dfmea-浏览恢复-2,dfmea-浏览恢复-2
dfmea-数据恢复评审-3,dfmea-数据恢复评审-3
dfmea-数据恢复评审-4,dfmea-数据恢复评审-4
dfmea-挂载恢复-5,dfmea-挂载恢复-5
dfmea-细粒度恢复-6,dfmea-细粒度恢复-6
dfmea-数据恢复评审-7,dfmea-数据恢复评审-7
dfmea-演练-2,dfmea-演练-2
dfmea-容灾接管评审-3,dfmea-容灾接管评审-3
dfmea-容灾接管评审-4,dfmea-容灾接管评审-4
dfmea-数据回切-5,dfmea-数据回切-5
dfmea-容灾接管评审-6,dfmea-容灾接管评审-6
decl-vmware定时备份恢复-1,decl-vmware定时备份恢复-1
decl-vmware定时备份恢复-2,decl-vmware定时备份恢复-2
decl-vmware定时备份恢复-3,decl-vmware定时备份恢复-3
decl-vmware定时备份恢复-4,decl-vmware定时备份恢复-4
decl-fusioncompute定时备份恢复-5,decl-fusioncompute定时备份恢复-5
decl-fusioncompute定时备份恢复-6,decl-fusioncompute定时备份恢复-6
decl-oracle定时备份恢复-7,decl-oracle定时备份恢复-7
decl-oracle定时备份恢复-8,decl-oracle定时备份恢复-8
decl-oracle定时备份恢复-9,decl-oracle定时备份恢复-9
decl-oracle定时备份恢复-10,decl-oracle定时备份恢复-10
decl-oracle定时备份恢复-11,decl-oracle定时备份恢复-11
decl-oracle定时备份恢复-12,decl-oracle定时备份恢复-12
decl-oracle定时备份恢复-13,decl-oracle定时备份恢复-13
decl-anyshare定时备份恢复-14,decl-anyshare定时备份恢复-14
decl-anyshare定时备份恢复-15,decl-anyshare定时备份恢复-15
decl-anyshare定时备份恢复-16,decl-anyshare定时备份恢复-16
decl-sql_server定时备份恢复-17,decl-sql_server定时备份恢复-17
decl-sql_server定时备份恢复-18,decl-sql_server定时备份恢复-18
decl-hadoop定时备份恢复-19,decl-hadoop定时备份恢复-19
decl-hadoop定时备份恢复-20,decl-hadoop定时备份恢复-20
decl-cdm副本数据管理公共部分-21,decl-cdm副本数据管理公共部分-21
